Species,AbsCentroid,AvgElev(m),Clutch,Broods,EggWt(gm),CMass(gm),IncPeriod,BMass(gm),DataSources
Afropavo congensis,1.2002,600,2.5,,69,172.5,26.5,1144.5,12; 2; 20
Alectoris barbara,32.2117,1650,11.3,1.5,19.5,220.35,24.5,376,12; 5; 20
Alectoris chukar,39.8429,2250,13,1,22,286,23.5,565,12; 22; 20
Alectoris graeca,42.9533,1200,11,1.5,20,220,25,565,12; 5; 20
Alectoris magna,36.7188,2650,12.3,1,20.4,250.92,23,528.5,12; 20; 14
Alectoris melanocephala,17.2802,1625,6.5,1.5,29.46,191.49,24.5,522,12; 19; 2
Alectoris rufa,42.566,1000,11.95,1.5,19,227.05,23.5,452.5,12; 5; 14
Ammoperdix griseogularis,33.0391,1000,7.5,1.5,12,90,21,193.5,12; 5; 13; 1
Ammoperdix heyi,23.7802,800,10,1.5,14,140,22.5,190,12; 20
Arborophila crudigularis,23.7659,1500,7,,19.5,136.5,24,212,12; 2; 14
Arborophila rufogularis,23.1923,1450,4.5,,20.2,90.9,20.5,323.5,12; 14; 20
Arborophila torqueola,27.1861,2300,4,,22.8,91.2,24,306.5,12; 14
Argusianus argus,1.0925,750,2,,74.3,148.6,24.5,1645,12; 2; 15
Bambusicola fytchii,23.001,1750,5,,17.4,87,18.5,298,12; 14
Bambusicola thoracicus,28.3825,1000,5,,11.9,59.5,18,271,12; 2; 14
Bonasa bonasia,58.0134,1000,9,1,19,171,25,364.5,12; 7
Bonasa sewerzowi,30.8348,2500,6.19,,22.88,141.63,27,338.5,12; 17
Callipepla californica,40.8584,1400,12.55,1.5,8.93,112.07,22.5,162,12; 22; 20
Callipepla douglasii,25.4022,775,10,,10.8,108,22.5,175,12; 20; 14
Callipepla gambelii,33.2732,825,13,1.5,10,130,23,156,12; 11; 20
Callipepla squamata,29.8959,1467.5,12.67,1.5,11,139.37,22,202,12; 2; 22; 20
Catreus wallichi,31.3985,2050,9.5,,71.6,680.2,26,1130,12; 15
Centrocercus urophasianus,43.6068,1676,7.5,1,46.1,345.75,26,1550,12; 22; 16; 2; 1
Chrysolophus amherstiae,27.2017,3200,6.5,1,31,201.5,24,714,12; 5
Chrysolophus pictus,29.7043,1200,7,1,27,189,22,625,12; 5
Colinus cristatus,6.7847,1600,12,,9.5,114,22.5,136,12; 20; 14
Colinus leucopogon,11,900,10,,10.7,107,22,115,12; 20; 14; 24
Colinus virginianus,34.8061,1250,13.45,1.5,8.5,114.33,23,170,12; 22; 2
Coturnix chinensis,2.8173,1000,5.5,1.5,5,27.5,17,38.5,12; 20; 14; 2
Coturnix coromandelica,21.8673,900,5,1,6.5,32.5,18.5,74.5,12; 14
Coturnix coturnix,44.8514,1500,8.25,1.5,8,66,18.5,112.5,12; 25; 5; 1
