traitname,speciesname,sign,mean_low,mean_high,units,SD_low,SD_high,N_low,N_high,elev_low,elev_high,latitude,mass,alpine,mig-res,source
IncubationDuration,Agelaius_phoeniceus,0,11.41,11.13,d,0.812,0.93,39,15,1600,2900,39.485,54,0,mig,16
EggSize,Agelaius_phoeniceus,+,3.91,4.27,cm3,0.22,0.37,19,39,87,2410,40.62,54,1,mig,82
ClutchSize,Agelaius_phoeniceus,0,3.38,4.04,kids,0.523,0.563,16,22,30,2900,38.49,54,0,mig,16
NestlingSize,Agelaius_phoeniceus,0,3.47,3.53,g,0.576,0.41,23,21,1600,2900,39.485,54,0,mig,16
NestSuccess,Amphispiza_bilineata,+,0.24,0.42,ratio,,,,,400,1300,32.82,12.5,0,mig,39
ClutchSize,Amphispiza_bilineata,-,3.52,3.22,kids,1.055,0.653,20,31,400,1300,32.82,12.5,0,mig,39
Onset,Amphispiza_bilineata,+,105,134,d,,,,,400,1300,32.82,12.5,0,mig,39
Onset,Anas_platyrhynchos,+,71,115,d,,,,,1584,3650,31.9,1150,1,res,"57, 58"
Season,Anas_platyrhynchos,-,98,61,d,,,,,1584,3650,31.9,1150,1,res,"57, 58"
ClutchSize,Anas_platyrhynchos,-,8.27,6.07,kids,2.23,1.62,37,26,1584,3650,31.9,1150,1,res,"57, 58"
EggSize,Anas_platyrhynchos,0,56.4,54.5,mm,2.34,2.3,40,148,1584,3650,31.9,1150,1,res,"57, 58"
Onset,Anthus_pratensis,+,127.2,132.2,d,,,,,8,380,52.33,18.4,1,mig,24
NAttempts,Anthus_pratensis,-,,,att,,,,,250,1250,59.583,18.4,1,mig,4
NestSuccess,Anthus_pratensis,+,0.66,0.97,prob,0.056,0.032,71,32,8,305,52.33,18.4,1,mig,24
ClutchSize,Anthus_pratensis,+,4.6,5.3,kids,0.8,0.7,65,89,250,1250,59.583,18.4,1,mig,4
ClutchSize,Anthus_pratensis,-,4.52,4.07,kids,0.536,0.548,61,43,8,380,52.33,18.4,1,mig,24
NestlingDuration,Anthus_spinoletta,0,14.5,14.5,d,,,,,100,3050,,23.9,1,mig,3
NAttempts,Anthus_spinoletta,-,2,1,att,,,,,100,3050,,23.9,1,mig,3
ClutchSize,Anthus_spinoletta,0,5.5,5.3,kids,,,,,100,3050,,23.9,1,mig,3
IncubationDuration,Anthus_spinoletta,0,14.5,14.5,d,,,,,100,3050,,23.9,1,mig,3
IncubationDuration,Anthus_trivialis,+,11.3,12.3,d,,,,,200,2100,,23.4,0,mig,3
ClutchSize,Anthus_trivialis,-,4.7,4.3,kids,,,,,200,2100,,23.4,0,mig,3
NAttempts,Anthus_trivialis,-,2,1,att,,,,,200,2100,,23.4,0,mig,3
NestlingDuration,Anthus_trivialis,0,12.5,12,d,,,,,200,2100,,23.4,0,mig,3
AdultSurvival,Anthus_trivialis,-,0.57,0.2,prob,,,,,200,2100,,23.4,0,mig,3
EggSize,Aphelocoma_ultramarina,0,6927,7115,mm3,821,697,17,24,1526,2371,29,115,0,res,70
ClutchSize,Aphelocoma_ultramarina,0,2.88,3.08,kids,1.36,0.83,17,24,1526,2371,29,115,0,res,70
ClutchSize,Aquila_chrysaetos,0,,,kids,,,,,607,1372,63.58,4229,1,mig,71
NestSuccess,Aquila_chrysaetos,0,,,unk,,,,,607,1372,63.58,4229,1,mig,71
ClutchSize,Branta_canadensis,-,5.62,5.08,kids,,,3816,131,120,2000,44.5,4000,1,mig,26
EggSize,Calidris_maritima,-,12.92,10.97,cm3,,,,,0,1100,66,68,1,mig,93
Onset,Calidris_maritima,+,146,167,d,,,,,0,1100,66,68,1,mig,93
ClutchSize,Calidris_maritima,0,3.78,3.56,kids,,,,,0,1100,66,68,1,mig,93
ClutchSize,Cardellina_rubrifrons,-,,,kids,,,,,1785,2790,32.41,10,0,mig,25
IncubationDuration,Carduelis_carduelis,0,11.7,12,d,,,,,0,2020,,16,0,res,3
NestlingDuration,Carduelis_carduelis,-,14.7,12,d,,,,,0,2020,,16,0,res,3
AdultSurvival,Carduelis_carduelis,-,0.43,0.38,prob,,,,,0,2020,,16,0,res,3
ClutchSize,Carduelis_carduelis,-,4.9,4.3,kids,,,,,0,2020,,16,0,res,3
NAttempts,Carduelis_carduelis,0,1,1,att,,,,,0,2020,,16,0,res,3
Onset,Carduelis_corsicana,+,97,131,d,11.5,20,10,36,253,1078,41.53,11.5,0,res,31
NestSuccess,Carduelis_corsicana,0,0.5,0.3,prob,0.575,0.47,4,23,253,1078,41.53,11.5,0,res,31
ClutchSize,Carduelis_corsicana,0,4,3.6,kids,1.4,0.7,2,17,253,1078,41.53,11.5,0,res,31
Onset,Carduelis_flavirostris,+,130,155,d,,,,,3650,4300,30.3,15.4,1,res,64
ClutchSize,Carduelis_flavirostris,+,4,4.2,kids,,,,,3650,4300,30.3,15.4,1,res,64
EggSize,Carduelis_flavirostris,+,2816,3042,mm3,,,,,3650,4300,30.3,15.4,1,res,64
AdultBodySize,Carduelis_flavirostris,-,75.6,71.6,mm,,,,,500,3925,,15.4,1,mig,2
NestlingDuration,Carduelis_flavirostris,+,11.5,15.5,d,,,,,500,3925,,15.4,1,mig,2
ClutchSize,Carduelis_flavirostris,-,5.7,5.2,kids,,,,,500,3925,,15.4,1,mig,2
IncubationDuration,Carduelis_flavirostris,+,12.5,13.5,d,,,,,500,3925,,15.4,1,mig,2
NAttempts,Carduelis_flavirostris,-,2,1,att,,,,,500,3925,,15.4,1,mig,2
IncubationDuration,Carpodacus_erythrinus,+,12.1,13.5,d,,,,,1000,3275,,36,0,mig,2
NestlingDuration,Carpodacus_erythrinus,+,11.6,15.5,d,,,,,1000,3275,,36,0,mig,2
IncubationDuration,Carpodacus_erythrinus,+,11.5,13.5,d,,,,,0,2300,,36,0,mig,3
ClutchSize,Carpodacus_erythrinus,-,4.9,4.5,kids,,,,,1000,3275,,36,0,mig,2
AdultBodySize,Carpodacus_erythrinus,0,82.7,82.2,mm,,,,,1000,3275,,36,0,mig,2
ClutchSize,Carpodacus_erythrinus,-,4.8,4.2,kids,,,,,0,2300,,36,0,mig,3
NestlingDuration,Carpodacus_erythrinus,0,11.5,12,d,,,,,0,2300,,36,0,mig,3
AdultSurvival,Carpodacus_erythrinus,-,0.66,0.47,prob,,,,,0,2300,,36,0,mig,3
NAttempts,Carpodacus_erythrinus,0,1,1,att,,,,,1000,3275,,36,0,mig,2
NestlingSize,Centrocercus_urophasianus,,27.7,28.4,g,5,4.4,362,154,1846,2242,40.25,1950,0,mig,1
AdultSurvival,Centrocercus_urophasianus,+,,,,,,,,1700,2700,40.25,1950,0,mig,1
AgeDistribution,Centrocercus_urophasianus,+,0.75,0.81,ratio,,,,,1846,2242,40.25,1950,0,mig,1
Onset,Centrocercus_urophasianus,+,104.9,111.8,d,10.2,9.8,210,90,1846,2242,40.25,1950,0,mig,1
ClutchSize,Centrocercus_urophasianus,,7.5,7.7,kids,1.6,7.7,212,90,1846,2242,40.25,1950,0,mig,1
NestlingDuration,Certhia_familiaris,+,15.3,18.5,d,,,,,75,2000,,9,0,res,3
IncubationDuration,Certhia_familiaris,+,14,15.5,d,,,,,75,2000,,9,0,res,3
ClutchSize,Certhia_familiaris,-,5.3,5,kids,,,,,75,2000,,9,0,res,3
NAttempts,Certhia_familiaris,-,2,1,att,,,,,75,2000,,9,0,res,3
IncubationDuration,Cinclus_cinclus,+,16,17,d,,,,,700,1500,,59.8,1,,3
NestlingDuration,Cinclus_cinclus,0,22,23,d,,,,,700,1500,,59.8,1,,3
ClutchSize,Cinclus_cinclus,-,4.8,4,kids,,,,,700,1500,,59.8,1,,3
NAttempts,Cinclus_cinclus,0,1,1,att,,,,,700,1500,,59.8,1,,3
AdultBodySize,Cinclus_leucocephalus,,44,45.5,g,,,,,1200,2100,16.5,44,0,res,77
AdultSurvival,Cinclus_mexicanus,+,53.9,57.3,%,7.6,8.7,91,93,230,600,49,58,0,mig,34
Onset,Cinclus_mexicanus,+,89,102,d,11.2,14.1,126,50,230,600,49,58,0,mig,34
NAttempts,Cinclus_mexicanus,0,1.49,1.27,att,0.58,0.49,94,30,230,600,49,58,0,mig,34
NestSuccess,Cinclus_mexicanus,0,0.69,0.57,prop,0.05,0.08,135,53,230,600,49,58,0,mig,34
NestlingSize,Cinclus_mexicanus,-,,,unk,,,,,230,600,49,58,0,mig,65
JuvSurvival,Cinclus_mexicanus,-,12,4,%,,,,,230,600,49,58,0,mig,65
ClutchSize,Cinclus_mexicanus,0,4.4,4.2,kids,1,0.6,103,39,230,600,49,58,0,mig,34
Onset,Corvus_corone,+,110,122,d,,,,,76,457,55.3,570,0,res,40
ClutchSize,Corvus_corone,-,4.1,3.9,kids,,,300,14,250,750,52.5,570,0,res,40
ClutchSize,Corvus_monedula,-,4.4,4,kids,,,133,11,250,750,55,570,0,res,40
ClutchSize,Empidonax_oberholseri,0,3.9,3.59,kids,0.42,0.44,28,492,2300,3200,38,10.4,0,mig,"76, 79"
NestSuccess,Empidonax_oberholseri,0,0.49,0.49,prop,,,,,2300,3200,38,10.4,0,mig,"76, 79"
IncubationDuration,Eremophila_alpestris,0,11,11.3,d,,,,,183,3600,41.45,32,1,mig,16
AdultBodySize,Eremophila_alpestris,+,26.92,34.01,g,1.76,2.25,14,44,63,1675,49.43,35.5,1,mig,15
NestlingSize,Eremophila_alpestris,0,2.85,2.6,unk,,,,,122,3600,41.45,32,1,mig,16
Season,Eremophila_alpestris,-,94,38.5,d,21.06,2.52,4,4,63,1675,49.43,35.5,1,mig,15
Onset,Eremophila_alpestris,+,135,151,d,14.95,6.93,143,129,63,1675,49.43,35.5,1,mig,15
ClutchSize,Eremophila_alpestris,+,3.05,3.61,kids,0.7,0.68,135,93,63,1675,49.43,35.5,1,mig,15
JuvSurvival,Eremophila_alpestris,0,25,20,%,0.36,0.66,80,175,63,1675,49.43,35.5,1,mig,15
AdultSurvival,Eremophila_alpestris,+,60,78,%,0.51,0.51,26,52,63,1675,49.43,35.5,1,mig,15
NestSuccess,Eremophila_alpestris,+,0.23,0.35,prop,0.026,0.035,257,188,63,1675,49.43,35.5,1,mig,15
Onset,Falco_punctatus,+,,,d,,,,,25,625,20.3,170,0,res,13
NAttempts,Falco_punctatus,0,1,1,att,,,,,25,625,20.3,170,0,res,13
ClutchSize,Falco_tinnunculus,-,4.45,4.11,kids,0.89,0.76,115,18,288,1800,28.29,184,0,res,18
Onset,Falco_tinnunculus,+,75.9,107.18,d,13.91,11.59,103,17,288,1800,28.29,184,0,res,18
EggSize,Falco_tinnunculus,0,18.88,17.55,cm3,1.46,1.15,62,8,288,1800,28.29,184,0,res,18
NestSuccess,Falco_tinnunculus,+,0.91,1,prop,,,,,288,1800,28.29,184,0,res,18
ClutchSize,Ficedula_hypoleuca,-,6.01,5.52,kids,,,,,180,550,43.57,13.9,0,mig,103
ClutchSize,Ficedula_hypoleuca,-,,,unk,,,,,5,1900,52.5,13.9,0,mig,85
NestSuccess,Ficedula_hypoleuca,-,0.89,0.72,prob,,,,,180,550,43.57,13.9,0,mig,103
Onset,Ficedula_hypoleuca,+,,,unk,,,,,5,1700,51.95,13.9,0,mig,42
Onset,Ficedula_hypoleuca,+,,,unk,,,,,5,1900,52.5,13.9,0,mig,85
ClutchSize,Ficedula_hypoleuca,-,,,unk,,,,,5,1700,51.95,13.9,0,mig,42
Onset,Ficedula_hypoleuca,+,,,unk,,,,,100,900,43.57,13.9,0,mig,103
NestSuccess,Fringilla_montifringilla,-,0.93,0.59,prop,0.066,0.119,15,17,50,750,63.5,22.6,0,mig,89
ClutchSize,Fringilla_montifringilla,-,6.91,5.65,kids,0.53,1,22,17,50,750,63.5,22.6,0,mig,89
Season,Fulica_americana,-,4.5,2,w,,,,,1563,2463,39.78,642,0,mig,35
ClutchSize,Fulica_americana,0,4.2,4.3,kids,,,7,12,10,4150,11,642,1,res,17
Onset,Fulica_americana,+,,,unk,,,,,1563,2463,39.78,642,0,mig,35
EggSize,Fulica_americana,+,43.19,48.57,g,4.66,3.36,7,12,10,4150,11,642,1,res,17
ClutchSize,Fulica_americana,-,8.7,8,kids,1.63,1.76,162,168,1563,2463,39.78,642,0,mig,35
NestSuccess,Fulica_americana,-,0.87,0.73,prop,0.025,0.034,186,168,1563,2463,39.78,642,0,mig,35
Onset,Gallinula_chloropus,+,93,145,d,,,,,0,3650,29.6,382,1,mig,"14, 57"
Season,Gallinula_chloropus,-,126.5,41,d,,,,,0,3650,29.6,382,1,mig,"14, 57"
NestSuccess,Gallinula_chloropus,+,0.55,0.69,prop,,,,,0,3650,29.6,382,1,mig,"14, 57"
ClutchSize,Gallinula_chloropus,+,6.7,7.82,kids,,,59,17,0,3650,29.6,382,1,mig,"14, 57"
NestlingSize,Geospiza_fuliginosa,0,1.26,1.23,g,0.15,0.15,14,6,50,500,0.65,14.5,0,res,50
EggSize,Geospiza_fuliginosa,0,1.89,1.9,mm,0.03,0.02,8,6,50,500,0.65,14.5,0,res,50
Season,Geospiza_fuliginosa,-,,,unk,,,,,50,500,0.65,14.5,0,res,50
AgeDistribution,Geospiza_fuliginosa,0,94.06,97.22,%,,,101,72,50,500,0.65,14.5,0,res,50
ClutchSize,Geospiza_fuliginosa,-,3.4,2.5,kids,0.78,0.504,63,20,50,500,0.65,14.5,0,res,50
NestSuccess,Geospiza_fuliginosa,-,0.85,0.32,prop,0.033,0.518,115,81,50,500,0.65,14.5,0,res,50
Onset,Geospiza_fuliginosa,-,56,32,d,,,,,50,500,0.65,14.5,0,res,50
AdultBodySize,Glyphorynchus_spirurus,+,,,unk,,,,,150,1400,0,14.6,0,res,72
Onset,Gymnorhina_tibicen,+,,,unk,,,,,0,1300,30,12.5,0,res,32
Onset,Haplochelidon_andecola,+,,,unk,,,,,3900,4600,16.5,17,1,res,77
ClutchSize,Hodgsonius_phaenicuroides,-,3.21,2.73,kids,0.62,0.46,38,11,1325,4325,28.8,21.1,1,mig,62
Onset,Hodgsonius_phaenicuroides,+,160,170,d,24.6,16.9,38,18,1325,4325,28.8,21.1,1,mig,62
Season,Hodgsonius_phaenicuroides,-,94,55,d,,,,,1325,4325,28.8,21.1,1,mig,62
EggSize,Hodgsonius_phaenicuroides,+,5033,5913,mm3,415.3,215.8,14,22,1325,4325,28.8,21.1,1,mig,62
IncubationDuration,Hodgsonius_phaenicuroides,+,11,15.5,d,1,0.7,3,2,1325,4325,28.8,21.1,1,mig,62
NestlingDuration,Hodgsonius_phaenicuroides,+,11.7,16.3,d,0.5,0.5,3,3,1325,4325,28.8,21.1,1,mig,62
NestSuccess,Hodgsonius_phaenicuroides,0,0.46,0.57,prop,0.07,0.132,50,14,1325,4325,28.8,21.1,1,mig,62
Onset,Junco_hyemalis,+,118,150,d,,,,,1010,2025,52.88,20,0,mig,8
Season,Junco_hyemalis,-,97,40.5,d,,,,,1010,2025,52.88,20,0,mig,8
ClutchSize,Junco_hyemalis,0,3.65,3.58,kids,0.82,0.89,15,5,1010,2025,52.88,20,0,mig,6
NestlingSize,Junco_hyemalis,+,17.75,20,g,4.88,2.65,18,11,1010,2025,52.88,20,0,mig,6
